station,lon,lat,dif_prct,z50_tg,z50_gos
Honolulu Hawaii,-157.867,21.307,30.3995471551313,0.222361228269377,0.154764421826898
Huelva,-6.83,37.13,50.5110449755778,1.02614914994442,0.507830491299487
Ilha Fiscal,-43.165,-22.897,57.1024880768253,0.829310059963148,0.355753381852779
Imbituba,-48.6502777777778,-28.2311111111111,48.5225200279052,0.917094710082456,0.472097245707837
Imperia,8.01886389,43.87833889,4.99551853045747,0.501258000875996,0.476217564556835
Iquique,-70.1477777777778,-20.2044444444444,64.1382435836221,0.350677932557456,0.125759265979745
Ishigake,124.15,24.333,30.8921027904369,0.841495099642275,0.581539568484295
Isla Pascua,-109.439444444444,-27.1547222222222,87.9472252557755,0.918544429114738,0.110710090966822
Juan Fernandez,-78.833,-33.622,29.0302148611691,0.387463922895692,0.274982313569558
Kabelvag,14.482149,68.212639,8.03095619651315,1.58975960083022,1.46208670365769
Kahului,-156.467,20.9,35.3420804516902,0.232597226405841,0.150392527521088
Kaohsiung,120.282,22.615,30.2624852082523,0.562853822409532,0.392520267658765
Kawaihae,-155.833,20.033,45.3143753082725,0.243151516773053,0.132968925894755
Keelung,121.745,25.157,36.0915093849154,0.884869666739601,0.565506847924009
Ketchikan,-131.625,55.333,39.0396262742908,1.35599569470087,0.826620043194179
Key West FL,-81.808,24.553,48.1004590349529,0.649843428129422,0.337265756190696
Ko Lak,99.817,11.795,29.6884455437597,0.972774795741734,0.68397308024453
Ko Taphao Noi,98.425,7.832,73.9874315923737,0.543948211557319,0.141494900633408
Kodiak,-152.512,57.732,17.7596871588332,0.959067460098256,0.788740079542638
Kushimoto,135.783,33.467,45.0159220198746,0.863645353845498,0.474867434830139
Kushiro,144.383,42.967,24.0345320990166,0.716240439879063,0.544095401450192
Kwajalein,167.733,8.733,50.0538053200069,0.220982996944957,0.110372597863812
La Jolla,-117.258,32.867,27.7866386460303,0.340853429999193,0.246141719092718
La Libertad,-80.917,-2.2,70.1287841258331,0.358734762219725,0.107158435238334
La Palma,-17.77,28.68,9.42989108666235,0.285016774104736,0.258140002727941
La Rochelle,-1.22064996,46.15850067,25.1846268803075,1.75855111776705,1.31566658025794
Lamu,40.903,-2.272,65.9358164003949,0.349945194928886,0.119205973698571
Langkawi,99.765,6.432,66.9373186147315,0.507982448611846,0.16795261847762
Lanzarote Arrecife,-13.53,28.97,2.20825063704899,0.252803128827045,0.247220602124242
Las Palmas,-15.41,28.14,15.3938051371791,0.300502669574654,0.25424387418831
Lautoka,177.433,-17.6,27.7089741014129,0.369829466596267,0.267353515477714
Legaspi,123.75,13.15,30.0093627699616,0.438392656286031,0.306833813704285
Lerwick,-1.13799999999992,60.153,17.3143778721421,0.948693633817349,0.784433233209257
Livorno,10.29933889,43.54628611,25.3712100823394,0.689249773002849,0.514378765102249
Lombrum,147.367,-2.033,62.4515108186708,0.24487342271098,0.0919462706345828
Maisaka,137.617,34.683,62.189244050059,1.1983330086561,0.453098769370542
Majuro,171.373,7.107,66.0439896579693,0.292233263344273,0.0992307571240349
Malaga,-4.42,36.71,11.0195937714296,0.478390491471019,0.425673802669767
Malakal,134.463,7.33,73.1152134819075,0.404219064083074,0.108673432444166
Maloy,5.117,61.933,-16.6523951223811,0.999377713566553,1.16579803919467
Manila,120.967,14.583,57.1176608924805,0.849527812090061,0.364297397193151
Manzanillo,-104.333,19.05,73.3401993230577,0.555921005436695,0.148207431970676
Marseille,5.35,43.3,63.5952021324131,1.28540874704828,0.467950456135208
Masirah,58.872,20.687,17.1046697706444,0.395829042000154,0.328123791509723
Mawson,62.867,-67.6,-30.0997166959922,0.569193813920453,0.740519539361623
Melilla,-2.93,35.29,3.81103698191146,0.423627174423058,0.407482586140369
Mera,139.833,34.917,49.7116517663983,0.997067838319506,0.501408946659358
Mokuoloe,-157.8,21.433,33.3518036211895,0.239590013599974,0.159682422768129
Mombasa,39.657,-4.07,59.8536665414878,0.301004145363174,0.120842127921445
Monaco,7.421497,43.728847,0.673442824570799,0.460755746308885,0.457652819796571
Mossel Bay,22.333,-34.067,13.8077988480174,0.838447686792348,0.722676516754206
Nagasaki,129.867,32.733,18.2406066928156,0.666826689755369,0.54519345595437
