lon,lat,time,Ampl
79.5,-67.9636459350586,8,0.291578027965531
79.5,10.1957597732544,6,0.0899966341467761
79.75,-67.9636459350586,8,0.290805540830256
79.75,6.48610210418701,6,0.0299882460820893
79.75,6.73443984985352,6,0.0290680436746864
79.75,6.98265075683594,6,0.0311942802714039
79.75,7.2307300567627,7,0.0344648353438364
79.75,7.47867298126221,6,0.0401923491086448
79.75,7.72647523880005,6,0.0445156378067828
79.75,7.97413206100464,6,0.0491548692205633
79.75,8.22163867950439,6,0.0537392105312255
79.75,8.46899127960205,6,0.0591045554135973
79.75,8.71618556976318,6,0.0560889344780053
79.75,8.96321582794189,7,0.089137248103191
79.75,9.70328140258789,6,0.139366861238097
79.75,10.1957597732544,6,0.0489824755338518
80,-67.8696594238281,8,0.283342926959664
80,5.98906373977661,6,0.0298606583218841
80,6.23764181137085,6,0.0277943405669868
80,9.21007823944092,7,0.170201889936123
80,9.45676803588867,7,0.237279826181577
80,9.94961357116699,9,0.051031341307644
80,10.4417161941528,10,0.0395958368021322
80,10.687479019165,7,0.0462735100207393
80,10.9330415725708,7,0.049133282639664
80,11.1784019470215,6,0.0987335766391011
80,11.4235544204712,6,0.0602386772432027
80,11.6684951782227,6,0.0625202086198649
80,11.9132204055786,7,0.0605075332602716
80,12.1577243804932,10,0.056161096063126
80.25,-67.8696594238281,8,0.279596230624405
80.25,5.74037265777588,6,0.0337369914019927
80.25,9.94961357116699,10,0.0446131757526081
80.25,12.4020042419434,10,0.0547660006724669
80.25,12.6460552215576,10,0.0573848254844837
80.25,13.6198883056641,6,0.0709479405972341
80.25,13.8627319335938,6,0.0791717507012281
80.25,14.1053228378296,6,0.0836651726554964
80.25,14.3476552963257,6,0.08633503332068
80.25,14.5897264480591,6,0.0822320888466684
80.25,14.8315315246582,6,0.0827097678701649
80.25,15.0730667114258,6,0.082752987756935
80.25,15.3143272399902,6,0.0794026786752866
80.25,15.5553112030029,6,0.0773830931626125
80.5,-67.8696594238281,8,0.277528396264441
80.5,5.74037265777588,6,0.0342522691801248
80.5,9.70328140258789,10,0.0376649182417891
80.5,12.8898735046387,6,0.0661301040326985
80.5,13.1334543228149,6,0.0686288574280088
80.5,13.3767938613892,6,0.0728928648530544
80.5,15.7960119247437,7,0.116778419975892
80.75,-67.8696594238281,9,0.248477954868815
80.75,5.74037265777588,6,0.0350344227167698
80.75,9.45676803588867,6,0.0534093865861997
80.75,15.7960119247437,7,0.123738772618456
81,-67.7752838134766,8,0.272918552964233
81,5.98906373977661,6,0.0283992670663628
81,8.96321582794189,6,0.0540798922688885
81,9.21007823944092,6,0.0554316535270285
81,15.5553112030029,7,0.103661958808017
81.25,-67.7752838134766,8,0.273254768339239
81.25,-67.680534362793,8,0.272049592037318
81.25,5.98906373977661,6,0.0307606225431237
81.25,8.71618556976318,6,0.052332084924373
81.25,15.7960119247437,7,0.104154464352326
81.25,16.0364284515381,6,0.0875657034170618
81.5,-67.5854034423828,8,0.272208670168774
81.5,-67.4898834228516,8,0.271895738169193
81.5,-66.8103713989258,8,0.260293456565794
81.5,-66.7117309570312,8,0.269413556387315
81.5,-66.6126937866211,8,0.280287961197393
81.5,-66.5132598876953,8,0.28927875623731
81.5,-66.4134292602539,8,0.301473603102204
81.5,-66.3131942749023,8,0.225486793371905
81.5,-66.2125549316406,8,0.31809522078259
81.5,6.23764181137085,6,0.0324140439671603
81.5,8.22163867950439,6,0.0505773733645837
81.5,8.46899127960205,6,0.0511687734544256
81.5,16.276554107666,6,0.0931716788659166
81.75,-67.3939743041992,8,0.270887557586687
81.75,-67.2976837158203,8,0.27038214122048
81.75,-66.9086227416992,8,0.275738721823226
81.75,-66.1115188598633,8,0.316463897923828
81.75,6.48610210418701,7,0.0419416195977795
81.75,7.72647523880005,6,0.0511844199788469
81.75,7.97413206100464,6,0.0509232284740674
81.75,16.276554107666,7,0.100385513122931
82,-67.2010040283203,8,0.269976467067271
82,-66.9086227416992,8,0.274932876749873
82,-66.1115188598633,8,0.319741344113897
82,6.73443984985352,7,0.0480638315972474
82,6.98265075683594,7,0.0498543864778622
82,7.2307300567627,7,0.051161392115609
82,7.47867298126221,6,0.0521782161461811
82,16.276554107666,7,0.11245344180936
82.25,-67.2010040283203,8,0.268941696529713
82.25,-67.1039352416992,8,0.269945213758125
82.25,-67.006477355957,8,0.271432066780109
82.25,-66.9086227416992,8,0.272786623636285
82.25,-66.1115188598633,8,0.312494834720905
82.25,16.5163860321045,7,0.139656760810686
82.5,-66.4134292602539,8,0.32053066033304
82.5,-66.3131942749023,8,0.312930552731445
82.5,-66.2125549316406,8,0.302579083123789
82.5,16.7559223175049,7,0.132458677377122
82.5,16.9951572418213,7,0.130970476643038
82.75,-66.5132598876953,8,0.317435125931393
