station,lon,lat,mu_ann_tg,mu_ann_gos,mu_semi_tg,mu_semi_gos,psi_ann_tg,psi_ann_gos,psi_semi_tg,psi_semi_gos
Ketchikan,-131.625,55.333,0.216845241018237,0.145120135343553,0.0254771506404975,0.025897417572509,0.031622705193737,0.0243472900986126,NaN,NaN
Key West FL,-81.808,24.553,0.0317132750026042,0.0134140224717458,0.0466986365518845,0.0251742761974401,0.0242528823906974,NaN,NaN,NaN
Ko Lak,99.817,11.795,0.261110008398298,0.189214382322946,0.0366723668802233,NaN,0.0186222490197935,0.0137374357433438,NaN,NaN
Ko Taphao Noi,98.425,7.832,0.0538112181587381,0.026857245065695,0.0284315449798424,NaN,0.0112512450629253,NaN,NaN,NaN
Kodiak,-152.512,57.732,0.162105646432159,0.148624833777899,NaN,0.0367333048360544,0.0310144365665169,0.025179810119993,NaN,NaN
Kushimoto,135.783,33.467,0.083460586494715,0.045183568356345,0.042935792578633,0.00890180239540847,0.0361289247127506,0.00995543188528253,NaN,NaN
Kushiro,144.383,42.967,0.0656684922205018,0.0348891719053935,NaN,NaN,0.0213252658146763,0.0154696813187926,NaN,NaN
Kwajalein,167.733,8.733,0.0231952939500494,0.00517179185592383,0.0196827321669528,0.00247325543130911,NaN,0.00619461181899237,NaN,NaN
La Jolla,-117.258,32.867,0.0219677409333277,0.0241852337302103,0.0352302294462369,NaN,NaN,0.0097709477154317,NaN,NaN
La Libertad,-80.917,-2.2,0.016411861381248,0.00950642276949642,0.0234740544676564,0.00314153429279389,0.0086478236811466,NaN,NaN,NaN
La Palma,-17.77,28.68,NaN,NaN,0.0212072265978605,0.00861170673802238,0.0170281402701088,0.0156279343943977,NaN,NaN
La Rochelle,-1.22064996,46.15850067,0.146652687611498,0.103534037124054,0.0383910530305396,0.0322415865804352,0.0695999746506168,0.0686466937161944,NaN,NaN
Lamu,40.903,-2.272,0.0391782635128524,0.017428686648434,0.042795414096695,0.00863047145711635,0.00950739927688429,NaN,NaN,NaN
Langkawi,99.765,6.432,0.0722577216560625,0.026352648702436,0.0283261186009044,NaN,0.0103723849386773,NaN,NaN,NaN
Lanzarote Arrecife,-13.53,28.97,NaN,0.0129727709063292,0.0144431413252173,0.0115754194443441,0.0136654310231218,0.014284656921344,NaN,NaN
Las Palmas,-15.41,28.14,NaN,0.00540831164195445,NaN,0.011717721115682,0.0113970989725149,0.0152964475791538,NaN,NaN
Lautoka,177.433,-17.6,0.043329423775887,0.013208393830913,0.00863076602495978,0.0052559884493214,0.0121570362629467,0.00394729976856332,NaN,NaN
Legaspi,123.75,13.15,0.0270831437006508,0.0321386721227573,NaN,NaN,NaN,0.00770019646359754,NaN,NaN
Lerwick,-1.13799999999992,60.153,0.152555670173864,0.136052364189276,NaN,NaN,0.0458987821994549,0.0397328628217613,NaN,NaN
Livorno,10.29933889,43.54628611,0.0493634309127759,0.0523460145000372,NaN,0.012908967208313,0.024674520601341,0.0305453203080963,NaN,NaN
Lombrum,147.367,-2.033,0.0235616476566687,0.00273819407202996,0.0197132546714742,0.00409455099079252,NaN,0.00277491660303513,NaN,NaN
Maisaka,137.617,34.683,0.0670215818434547,0.038165876074263,0.0319343964659112,0.00743390794633617,0.0373084423347478,0.00958346479215111,NaN,NaN
Majuro,171.373,7.107,0.0273401365518316,0.00590135416693491,0.0313227218043212,0.0029718638499938,0.00469868179275848,0.00379525583202239,NaN,NaN
Malaga,-4.42,36.71,0.0314093383878314,0.0228056420350798,NaN,0.0115818588076569,0.029473750891193,0.0331867576709642,NaN,NaN
Malakal,134.463,7.33,0.0517098423499869,0.00546847985357905,0.0334986385763004,NaN,0.0132695995028109,0.00441893449786258,NaN,NaN
Maloy,5.117,61.933,0.205204181161925,0.197203872645147,NaN,NaN,0.0402356146598508,0.0476703772373263,NaN,NaN
Manila,120.967,14.583,0.116659422737686,0.0439980269414539,0.0400819632117852,NaN,0.0370529385896045,0.0136016961377984,NaN,NaN
Manzanillo,-104.333,19.05,0.093172032134647,0.0277460006964049,0.0616697001052,0.0071411542014229,0.0161593178812968,0.00372578575146237,NaN,NaN
Marseille,5.35,43.3,0.106373957411925,0.04049463043922,NaN,0.0201844867351067,0.0668181297680876,0.0377906563315656,NaN,NaN
Masirah,58.872,20.687,0.0184400316059653,0.0690937458466517,0.0360239188374946,0.00981854098082806,NaN,0.00824497900185319,NaN,NaN
Mawson,62.867,-67.6,0.0257094450981619,0.0989538637177776,NaN,NaN,NaN,0.0199188139653846,NaN,NaN
Melilla,-2.93,35.29,0.0293073760893073,0.0191943907353216,NaN,0.011786021130687,0.0313079267030204,0.0333445562088207,NaN,NaN
Mera,139.833,34.917,0.0424109025397503,0.0271142926666454,0.0235106978977337,0.0104593272529212,0.0220151426453544,0.00680090809732053,NaN,NaN
Mokuoloe,-157.8,21.433,0.0180881093328435,0.0118815566127549,0.0206831533356643,0.00507647991273481,NaN,0.00538695342517457,NaN,NaN
Mombasa,39.657,-4.07,0.0244768567930219,0.0140836277190964,0.0317131986786401,0.00689734590931903,0.0070140789478377,NaN,NaN,NaN
Monaco,7.421497,43.728847,0.0423280135273143,0.0411425203195575,0.0118360511479167,0.00999932903857554,0.0280116748524646,0.0301802672253991,NaN,NaN
Mossel Bay,22.333,-34.067,0.0473570118639257,0.0588101368419867,NaN,0.01680218223432,0.0249796690047086,0.0209253058713606,NaN,NaN
Nagasaki,129.867,32.733,0.121792801852171,0.0819054236566303,0.0672744727788424,0.0163243351937682,0.0236416016656444,0.0121377286621592,NaN,NaN
Naha,127.667,26.217,0.12733302725341,0.0845102407054938,0.0595627682043355,0.0221266545560643,0.0356300764084109,0.0147780502781152,NaN,NaN
Nain,-61.7,56.55,0.116530327436493,0.13807041185937,0.025673827782598,NaN,0.0299126646703115,0.0514962113993923,NaN,NaN
Nawiliwili,-159.35,21.967,0.0158723621855129,0.014813019984409,0.0248999794684755,0.00539014210544583,NaN,0.00614267647418452,NaN,NaN
Naze,129.498,28.378,0.154181670133386,0.0643538976454643,0.0669878615082165,NaN,0.0231283972833938,0.0189550893345824,NaN,NaN
Neah Bay,-124.617,48.368,0.229699419333641,0.113810181367458,0.0316875358082275,0.0206336411848079,0.0520645106284194,0.0375078051643881,NaN,NaN
Newlyn,-5.53333,50.099998,0.100175746273411,0.0767168782448113,0.0272083359603266,0.0270140823629788,0.0337487716468807,0.0440905183476323,NaN,NaN
Newport,-71.327,41.505,0.123187527066341,0.132386353318705,NaN,NaN,0.0487864553773125,0.0472221819465259,NaN,NaN
Nice,7.285257,43.695508,0.0449675265381586,0.0434373445502646,0.0130756994586791,0.0109342469690464,0.0287145692643508,0.0301645761908236,NaN,NaN
Nishinoomote,130.995,30.732,0.10354987588443,0.069981240803964,0.0583204870864725,0.0154113938397083,0.0210529633667567,0.0172754510905417,NaN,NaN
