station,lon,lat,Period,Amplit.
Point_287,-167.25,-46.3974609375,11.9999084479641,0.733796489336496
Point_288,-167.25,-40.6013488769531,11.9999084479641,1.00825466438294
Point_289,-167.25,-34.255500793457,11.9999084479641,1.18257018649703
Point_290,-167.25,-27.392578125,11.9999084479641,1.21780918238995
Point_291,-167.25,-20.0761108398438,11.9999084479641,1.12071252764934
Point_292,-167.25,-12.4020042419434,11.9999084479641,0.920675674242825
Point_293,-167.25,-4.49538087844849,11.9999084479641,0.621437870387131
Point_294,-167.25,3.49782538414001,11.9999084479641,0.326844541395427
Point_295,-167.25,11.4235544204712,11.9999084479641,0.212708796920452
Point_296,-167.25,19.1340980529785,11.9999084479641,0.116466610344665
Point_297,-167.248992919922,26.4997406005859,11.9999084479641,0.0895762819736111
Point_298,-167.229080200195,33.4162826538086,11.9999084479641,0.24122855441685
Point_299,-167.139511108398,39.8271903991699,11.9999084479641,0.400387493746003
Point_300,-166.90544128418,45.7240715026855,11.9999084479641,0.606087713043083
Point_301,-166.43505859375,51.1328010559082,11.9999084479641,0.988329243608893
Point_302,-165.614227294922,56.0991325378418,11.9999084479641,2.04144943734475
Point_303,-154.021240234375,72.4031295776367,1044.3984063745,0.235909874270205
Point_304,-146.349822998047,75.5123443603516,1026.00391389432,0.252782985289911
Point_305,-135.010299682617,77.924690246582,647.269135802469,0.272114486998022
Point_306,-120.19359588623,79.3513870239258,647.269135802469,0.299375573318244
Point_307,-159.290557861328,-75.1144943237305,11.9999084479641,1.06646179078141
Point_308,-159.259841918945,-72.8768463134766,11.9999084479641,0.883143918314845
Point_309,-159.250869750977,-70.3505554199219,11.9999084479641,0.678934804434281
Point_310,-159.25,-67.4875564575195,11.9999084479641,0.468600149294783
Point_311,-159.25,-64.2225189208984,11.9999084479641,0.26113371173499
Point_312,-159.25,-60.5178337097168,1014.09671179884,0.356124996483193
Point_313,-159.25,-56.3349456787109,1014.09671179884,0.459355968546406
Point_314,-159.25,-51.6374168395996,1012.138996139,0.413754853373664
Point_315,-159.25,-46.3974609375,11.9999084479641,0.550905124387647
Point_316,-159.25,-40.6013488769531,11.9999084479641,0.734733423068473
Point_317,-159.25,-34.255500793457,11.9999084479641,0.845649187480777
Point_318,-159.25,-27.392578125,11.9999084479641,0.851418792021587
Point_319,-159.25,-20.0761108398438,11.9999084479641,0.702699502043161
Point_320,-159.25,-12.4020042419434,11.9999084479641,0.36776789088451
Point_321,-159.25,-4.49538087844849,12.0001831082628,0.137702892879908
Point_322,-159.25,3.49782538414001,11.9999084479641,0.238088387493459
Point_323,-159.25,11.4235544204712,11.9999084479641,0.295205384455665
Point_324,-159.25,19.1340980529785,11.9999084479641,0.207382512084128
Point_325,-159.248733520508,26.4949989318848,11.9999084479641,0.249923161071527
Point_326,-159.223693847656,33.3743133544922,11.9999084479641,0.415406934299708
Point_327,-159.112106323242,39.6969947814941,11.9999084479641,0.626460629645414
Point_328,-158.823852539062,45.4560813903809,11.9999084479641,0.893873324783945
Point_329,-158.252334594727,50.6875915527344,11.9999084479641,1.29261876479782
Point_330,-157.271209716797,55.4459266662598,11.9999084479641,2.12250726901739
Point_331,-144.703598022461,70.5704345703125,1026.00391389432,0.219986151313722
Point_332,-137.39485168457,73.2631149291992,648.069221260816,0.263321435044877
Point_333,-127.689125061035,75.2508697509766,919.80350877193,0.267228182912733
Point_334,-116.370162963867,76.3641891479492,11.9999084479641,0.441581920768113
Point_335,-151.209243774414,-75.1136703491211,11.9999084479641,1.05940177812661
Point_336,-151.241073608398,-72.8769073486328,11.9999084479641,0.873729619343612
Point_337,-151.249267578125,-70.3506164550781,11.9999084479641,0.675686246674507
Point_338,-151.25,-67.4875564575195,11.9999084479641,0.48939387637591
Point_339,-151.25,-64.2225189208984,11.9999084479641,0.316308182742401
Point_340,-151.25,-60.5178337097168,1016.06201550388,0.363166374147236
Point_341,-151.25,-56.3349456787109,457.493891797557,0.347063274234538
Point_342,-151.25,-51.6374168395996,11.9999084479641,0.325487213722956
Point_343,-151.25,-46.3974609375,11.9999084479641,0.435065316646227
Point_344,-151.25,-40.6013488769531,11.9999084479641,0.519254965444871
Point_345,-151.25,-34.255500793457,11.9999084479641,0.547051003240759
Point_346,-151.25,-27.392578125,11.9999084479641,0.464391532465562
Point_347,-151.25,-20.0761108398438,11.9999084479641,0.238093653285345
