lon,lat,phi0
86,19.6057929992676,0.03191496
86.25,-66.2125549316406,-0.1482552
86.25,19.8411273956299,0.04453499
86.5,-66.1115188598633,-0.15484793
86.5,20.0761108398438,0.08798454
86.75,-66.0100784301758,-0.15073886
86.75,20.3107452392578,0.09393905
87,-66.0100784301758,-0.15459829
87,20.5450210571289,0.0841164
87,20.7789249420166,0.22920815
87,21.0124206542969,0.2449789
87,21.2454643249512,0.24245876
87.25,-66.0100784301758,-0.15223631
87.25,21.4780197143555,0.22055711
87.5,-66.0100784301758,-0.15048034
87.5,21.4780197143555,0.23516709
87.75,-66.0100784301758,-0.15491778
87.75,21.7100601196289,0.17369788
88,-66.0100784301758,-0.16993182
88,21.7100620269775,0.17214817
88.25,-66.0100784301758,-0.1800488
88.25,21.4780235290527,0.19000985
88.5,-66.1115188598633,-0.18540928
88.5,21.4780235290527,0.17044753
88.75,-66.4134292602539,-0.17934515
88.75,-66.3131942749023,-0.17914906
88.75,-66.2125549316406,-0.182436
88.75,21.4780254364014,0.13549263
89,-66.6126937866211,-0.17636118
89,-66.5132598876953,-0.17267567
89,21.4780254364014,0.12183647
89.25,-66.6126937866211,-0.17452568
89.25,21.47802734375,0.11853434
89.5,-66.6126937866211,-0.16875764
89.5,21.7100734710693,0.13739897
89.75,-66.6126937866211,-0.16144246
89.75,21.710075378418,0.1324076
90,-66.6126937866211,-0.15515819
90,21.7100772857666,0.13528311
90.25,-66.6126937866211,-0.14835766
90.25,21.7100791931152,0.15139756
90.5,-66.6126937866211,-0.14610343
90.4999923706055,21.9415969848633,0.1778129
90.75,-66.6126937866211,-0.14938161
90.7499923706055,22.1725654602051,0.19397488
90.7499847412109,22.4029541015625,0.26027641
91,-66.5132598876953,-0.1443509
90.9999847412109,22.402961730957,0.26311391
91.25,-66.5132598876953,-0.14263874
91.2499694824219,22.6327724456787,0.23830122
91.5,-66.5132598876953,-0.13978144
91.4999847412109,22.4029769897461,0.23561345
91.4999694824219,22.6327819824219,0.2427582
91.75,-66.5132598876953,-0.13616493
91.75,21.4780387878418,0.1987027
91.75,21.7100925445557,0.20712835
91.7499923706055,21.9416160583496,0.24418346
91.7499923706055,22.17258644104,0.27791747
92,-66.5132598876953,-0.17504934
92,21.0124244689941,0.1714097
92,21.2454738616943,0.1923679
92.25,-66.5132598876953,-0.13532588
92.25,10.687479019165,-0.08879345
92.25,20.7789249420166,0.15445261
92.5,-66.5132598876953,-0.13172641
92.5,10.4417161941528,-0.11303848
92.5,10.9330415725708,-0.11154482
92.5,11.6684951782227,-0.09680648
92.5,11.9132204055786,-0.09977255
92.5,12.1577243804932,-0.11196867
92.5,12.4020042419434,-0.12230446
92.5,12.6460552215576,-0.12493031
92.5,12.8898735046387,-0.13361269
92.5,20.5450210571289,0.14743759
92.75,-66.5132598876953,-0.13329177
92.75,10.687479019165,-0.10920963
92.75,11.4235544204712,-0.09746576
92.75,13.1334543228149,-0.07197377
92.75,13.3767938613892,-0.11585086
92.75,20.3107452392578,0.1447917
93,-66.5132598876953,-0.13072771
93,11.6684951782227,-0.11665478
93,11.9132204055786,-0.11389248
93,12.1577243804932,-0.0784167
93,12.4020042419434,-0.12812051
93,12.6460552215576,-0.15121229
93,13.6198883056641,-0.14734789
93,20.0761108398438,0.12999968
93.25,-66.5132598876953,-0.13021621
