station,lon,lat,Dif_Pearson,Dif_RMSE,NBias_Unfiltered
Honiara,159.957,-9.425,-0.00945787491074881,0.0540666345110381,-1.11855847583672
Honningsvag,25.983,70.983,-0.0201988751854865,0.675559949358278,-0.135449611210528
Honolulu Hawaii,-157.867,21.307,-0.0136167779629773,0.0578452039972248,1.35262271334706
Huelva,-6.83,37.13,-0.147508366221618,1.98322234909025,-0.380293304788043
Ilha Fiscal,-43.165,-22.897,-0.0105304942842915,0.103808282753755,-3.80264634413023
Imbituba,-48.6502777777778,-28.2311111111111,-0.0165216739338288,0.201892895264665,-1.26451569219503
Imperia,8.01886389,43.87833889,2.22044604925031e-16,0,0.39130222696028
Iquique,-70.1477777777778,-20.2044444444444,-0.12362352835445,1.68432926026406,-0.149841615612848
Ishigake,124.15,24.333,-0.0440572500521076,0.353312347784275,-1.0491459324901
Isla Pascua,-109.439444444444,-27.1547222222222,-0.0635284054961517,0.602715442415805,-0.683702111130767
Juan Fernandez,-78.833,-33.622,-0.107391338883763,1.13301740052637,0.840858261258367
Kabelvag,14.482149,68.212639,-0.0164285014133861,0.665825140693372,-0.113156467153665
Kahului,-156.467,20.9,-0.0262038284474593,0.099224524515436,-1.89907316602167
Kaohsiung,120.282,22.615,-0.00933224939935784,0.0778346157671272,0.76870103434105
Kawaihae,-155.833,20.033,-0.0130312416880815,0.0556423261354313,-1.43095908037238
Keelung,121.745,25.157,-0.00135768057568786,0.0151042352228972,-0.0386369799014299
Ketchikan,-131.625,55.333,-0.21631829970197,6.53266405724176,-0.914860082245549
Key West FL,-81.808,24.553,-0.0231586473583374,0.152190718253576,-0.748069046894004
Ko Lak,99.817,11.795,-0.00864567572604824,0.211907323736551,-0.566652226556268
Ko Taphao Noi,98.425,7.832,-0.129593976785466,1.31691648168695,-1.80625029656077
Kodiak,-152.512,57.732,-0.122290960560515,3.91466294881098,-0.272647397673973
Kushimoto,135.783,33.467,-0.0287374157905366,0.25548354956779,-2.57541993534813
Kushiro,144.383,42.967,-0.0191513359312757,0.312021318395312,-0.697323767831243
Kwajalein,167.733,8.733,-0.0955934209557917,0.396869850294947,-0.934231497101589
La Jolla,-117.258,32.867,-0.116459126528434,1.27479934060862,0.0899147355470791
