station,lon,lat
Point_568,-69.3104400634766,62.3421821594238
Point_569,-77.4764785766602,68.4661865234375
Point_570,-91.7144317626953,72.4596710205078
Point_571,-55.3848686218262,-75.0851974487305
Point_572,-55.2817192077637,-72.8646545410156
Point_573,-55.2527389526367,-70.3482208251953
Point_574,-55.25,-67.4875564575195
Point_575,-55.25,-64.2225189208984
Point_576,-55.25,-60.5178337097168
Point_577,-55.25,-56.3349456787109
Point_578,-55.25,-51.6374168395996
Point_579,-55.25,-46.3974609375
Point_580,-55.25,-40.6013488769531
Point_581,-55.25,11.4235544204712
Point_582,-55.25,19.1340980529785
Point_583,-55.2512817382812,26.4946689605713
Point_584,-55.276554107666,33.371395111084
Point_585,-55.3891105651855,39.6879386901855
Point_586,-55.6796722412109,45.4374313354492
Point_587,-57.2426643371582,55.4006652832031
Point_588,-58.8053855895996,59.7256698608398
Point_589,-61.1751976013184,63.6751747131348
Point_590,-47.3010749816895,-75.1128387451172
Point_591,-47.2622718811035,-72.8761367797852
Point_592,-47.2510719299316,-70.3504180908203
Point_593,-47.25,-67.4875564575195
Point_594,-47.25,-64.2225189208984
Point_595,-47.25,-60.5178337097168
Point_596,-47.25,-56.3349456787109
Point_597,-47.25,-51.6374168395996
Point_598,-47.25,-46.3974609375
Point_599,-47.25,-40.6013488769531
Point_600,-47.25,-34.255500793457
Point_601,-47.25,-27.392578125
Point_602,-47.25,3.49782538414001
Point_603,-47.25,11.4235544204712
Point_604,-47.25,19.1340980529785
Point_605,-47.2510261535645,26.4994792938232
Point_606,-47.2713317871094,33.4139671325684
Point_607,-47.362621307373,39.8199996948242
Point_608,-47.6010055541992,45.7092552185059
Point_609,-48.0795974731445,51.1081352233887
Point_610,-48.913745880127,56.0627937316895
Point_611,-50.2617607116699,60.6265869140625
Point_612,-52.3642539978027,64.8468475341797
Point_613,-55.6082420349121,68.7463989257812
Point_614,-60.6147232055664,72.2958908081055
Point_615,-68.2883911132812,75.3772506713867
Point_616,-94.1067123413086,79.1614532470703
Point_617,-39.218994140625,-75.115104675293
Point_618,-39.2433242797852,-72.8774337768555
Point_619,-39.2494583129883,-70.3507080078125
Point_620,-39.25,-67.4875564575195
Point_621,-39.25,-64.2225189208984
Point_622,-39.25,-60.5178337097168
Point_623,-39.25,-56.3349456787109
Point_624,-39.25,-51.6374168395996
Point_625,-39.25,-46.3974609375
Point_626,-39.25,-40.6013488769531
Point_627,-39.25,-34.255500793457
Point_628,-39.25,-27.392578125
Point_629,-39.25,-20.0761108398438
Point_630,-39.25,3.49782538414001
Point_631,-39.25,11.4235544204712
Point_632,-39.25,19.1340980529785
Point_633,-39.2506446838379,26.502965927124
Point_634,-39.2635612487793,33.4448699951172
Point_635,-39.322338104248,39.9161109924316
Point_636,-39.4784088134766,45.9079399108887
Point_637,-39.7983436584473,51.4406356811523
Point_638,-40.3702850341797,56.5562782287598
Point_639,-41.3233757019043,61.3096618652344
