lon,lat,MOM
95.5,5.74037265777588,0.1032569
95.5,15.5553112030029,0.3472188
95.75,-64.9731597900391,0.897119
95.75,2.7489447593689,0.09238882
95.75,4.24610805511475,0.09076677
95.75,4.49538087844849,0.1005116
95.75,5.74037265777588,0.1054996
95.75,15.7960119247437,0.4670275
95.75,16.0364284515381,0.6865836
96,-64.9731597900391,1.022158
96,2.49920701980591,0.09290931
96,2.99863004684448,0.09611475
96,3.99675464630127,0.0961131
96,5.49157285690308,0.1069961
96,16.0364284515381,0.6932983
96.25,-64.9731597900391,1.050722
96.25,2.24942183494568,0.09323728
96.25,2.7489447593689,0.09838562
96.25,3.99675464630127,0.1071232
96.25,5.24266910552979,0.1055083
96.25,16.276554107666,1.002933
96.5,-64.9731597900391,1.061118
96.5,2.49920701980591,0.09701538
96.5,3.74732565879822,0.1027333
96.5,5.24266910552979,0.1070721
96.5,16.276554107666,1.08274
96.75,-64.8671951293945,1.027712
96.75,3.49782538414001,0.1016695
96.75,5.49157285690308,0.1073809
96.75,16.5163860321045,1.344161
97,-64.8671951293945,1.050184
97,1.24990081787109,0.09267523
97,3.24825859069824,0.1012255
97,3.49782538414001,0.1002352
97,5.49157285690308,0.1186592
97,16.7559223175049,2.00132
97,16.9951572418213,2.255009
97.25,-64.7608032226562,1.024338
97.25,0.999949216842651,0.09256781
97.25,1.49982869625092,0.09551373
97.25,2.99863004684448,0.1001172
97.25,5.24266910552979,0.1226797
97.25,16.5163860321045,1.729418
97.25,16.7559223175049,2.062944
97.25,16.9951572418213,2.268305
97.5,-64.7608032226562,1.037158
97.5,0.749978601932526,0.09284817
97.5,1.49982869625092,0.1055672
97.5,2.49920701980591,0.09991795
97.5,2.7489447593689,0.101746
97.5,5.24266910552979,0.1264034
97.5,15.3143272399902,0.4398912
97.5,15.5553112030029,0.6091099
97.5,15.7960119247437,0.8243353
97.5,16.0364284515381,1.04085
97.5,16.276554107666,1.261275
97.75,-64.6539916992188,0.9880455
97.75,0.499993652105331,0.09316543
97.75,1.24990081787109,0.1077284
97.75,2.24942183494568,0.1320817
