station,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10
Point_67,23.9992676004761,24.0003662165255,11.9999084479641,24.0653630772055,23.9346267975348,863.736408566722,1059.16767676768,1057.03225806452,597.81984036488,576.774477447745
Point_68,11.9999084479641,1099.13626834382,267.357470678225,178.026485568761,1242.38862559242,239.838975297347,96.1996330275229,717.22024623803,346.064686468647,789.590361445783
Point_69,11.9999084479641,576.140659340659,461.927753303965,267.49387755102,849.737439222042,484.107109879963,728.177777777778,205.120500782473,1101.44537815126,1291.34975369458
Point_70,11.9999084479641,205.120500782473,258.907654320988,267.49387755102,258.652195362605,267.630423685554,1260.30769230769,281.119571045576,228.647187091147,228.746945898778
Point_71,242.613604812587,242.725925925926,233.639928698752,258.524654832347,239.72930955647,235.42343960485,259.163618388532,228.846791793976,228.647187091147,11.9999084479641
Point_72,1254.27751196172,239.838975297347,11.9999084479641,686.240837696335,1147.23851203501,576.140659340659,834.853503184713,700.919786096257,378.001441961067,1144.73362445415
Point_73,685.343790849673,1251.28400954654,1144.73362445415,1147.23851203501,11.9999084479641,686.240837696335,386.928413284133,702.798927613941,1216.44547563805,1172.90380313199
Point_74,11.9999084479641,24.0003662165255,687.140235910878,1144.73362445415,387.214180206795,688.041994750656,216.379694593479,1222.11655011655,1219.27441860465,686.240837696335
Point_75,24.0003662165255,1122.67237687366,1057.03225806452,1016.06201550388,1014.09671179884,942.964028776978,1010.18882466281,1120.2735042735,1059.16767676768,11.9999084479641
Point_76,11.9999084479641,24.0003662165255,1222.11655011655,1057.03225806452,942.964028776978,11.9673133987674,12.4206486460875,1016.06201550388,1122.67237687366,424.868719611021
Point_77,11.9999084479641,24.0003662165255,11.9673133987674,12.4206486460875,1057.03225806452,24.0653630772055,23.9992676004761,7.99268248063906,12.0164103504389,1460.41225626741
Point_78,11.9999084479641,23.9992676004761,24.0653630772055,11.9673133987674,24.0664677530411,11.9670402410354,12.4206486460875,11.9837257142857,23.8692465285682,1057.03225806452
Point_79,11.9999084479641,23.9992676004761,23.9346267975348,8,8.00733093041725,24.0003662165255,1057.03225806452,1059.16767676768,11.9673133987674,8.00012207217517
Point_80,11.9999084479641,24.0003662165255,23.9992676004761,23.9346267975348,996.745247148289,24.0653630772055,1216.44547563805,1052.78714859438,673.026957637997,674.759330759331
Point_81,11.9999084479641,24.0003662165255,23.9992676004761,1347.78406169666,862.315789473684,996.745247148289,583.19021134594,1254.27751196172,23.9346267975348,1251.28400954654
Point_82,11.9999084479641,1245.33966745843,267.49387755102,1099.13626834382,239.72930955647,96.1996330275229,617.535924617197,1361.78701298701,676.50064516129,312.634466308885
Point_83,11.9999084479641,205.120500782473,267.357470678225,267.49387755102,576.140659340659,312.634466308885,849.737439222042,575.508232711306,96.1996330275229,138.737232071977
Point_84,1260.30769230769,11.9999084479641,205.120500782473,138.737232071977,851.116883116883,849.737439222042,236.592057761733,1175.533632287,178.026485568761,291.919821826281
Point_85,242.838351088467,239.72930955647,235.42343960485,205.120500782473,242.725925925926,236.592057761733,302.706697459584,252.790742526519,1175.533632287,851.116883116883
Point_86,242.950880444856,1147.23851203501,851.116883116883,1428.57765667575,834.853503184713,239.948741418764,302.881571346043,483.660516605166,1251.28400954654,198.895295902883
Point_87,1147.23851203501,687.140235910878,378.27417027417,686.240837696335,386.928413284133,1172.90380313199,1144.73362445415,239.838975297347,1251.28400954654,688.041994750656
Point_88,24.0003662165255,687.140235910878,1147.23851203501,243.176252319109,686.240837696335,668.734693877551,688.041994750656,11.9999084479641,1222.11655011655,1144.73362445415
Point_89,11.9999084479641,24.0003662165255,11.9673133987674,12.4206486460875,12.0164103504389,7.99268248063906,1222.11655011655,1057.03225806452,12.0166857666743,24.0653630772055
Point_90,11.9999084479641,24.0003662165255,12.0001831082628,7.99268248063906,8,8.00733093041725,12.4206486460875,23.9992676004761,11.9837257142857,8.00720863814775
Point_91,11.9999084479641,24.0003662165255,7.99268248063906,8,12.0164103504389,8.00733093041725,11.9673133987674,23.9992676004761,8.00720863814775,1054.90543259557
Point_92,11.9999084479641,24.0003662165255,23.9992676004761,12.0164103504389,23.9346267975348,11.9673133987674,996.745247148289,24.0653630772055,672.164102564103,671.303457106274
Point_93,11.9999084479641,24.0003662165255,23.9992676004761,670.445012787724,671.303457106274,862.315789473684,673.026957637997,1052.78714859438,1248.30476190476,1351.25773195876
Point_94,11.9999084479641,12.0164103504389,1125.08154506438,672.164102564103,517.049309664694,393.314328582146,210.642024909602,12.4206486460875,517.559723593287,1191.56363636364
Point_95,11.9999084479641,94.8765834238147,94.9109341057205,126.915516824014,58.2671704823294,136.747000521648,70.7064059339177,114.82435392028,65.9481761006289,95.9882826803369
Point_96,11.9999084479641,1099.13626834382,407.055900621118,239.619744058501,267.357470678225,376.914450035945,676.50064516129,1245.33966745843,312.634466308885,677.374677002584
Point_97,11.9999084479641,737.395218002813,205.120500782473,617.535924617197,239.72930955647,271.511134127395,576.140659340659,899.293310463122,267.357470678225,267.49387755102
Point_98,11.9999084479641,851.116883116883,205.120500782473,617.535924617197,849.737439222042,958.478976234004,678.250970245796,575.508232711306,271.651813471503,1016.06201550388
